8.630719851290203e-8 3.147280310674776e-8
8.638080659266541e-8 1.973475230240001e-8
9.01808096523331e-8 1.144702300720826e-8
9.027054638358356e-8 6.640562264466613e-9
9.03475346498349e-8 4.163907834755782e-9
9.043743728507704e-8 2.415535394904343e-9
9.05274293802462e-8 1.4012825152691984e-9
9.060463673209414e-8 8.786622294406529e-10
9.069479520336778e-8 5.097230293292403e-10
9.468457618438949e-8 2.9566174201872626e-10
9.884987277510846e-8 1.7149679465842863e-10
1.0316908482357931e-7 1.1622105093398821e-10
1.1228617028708292e-7 8.512284398502622e-11
1.2747634454031117e-7 5.7672937596729026e-11
1.4476259000734397e-7 3.344491571158807e-11
1.6434620357202494e-7 2.265979902059607e-11
1.8657910601880872e-7 1.535260235312556e-11
2.2091808683908538e-7 1.0400555305004758e-11
2.404406897737711e-7 7.617594570611893e-12
2.6172569558483867e-7 5.161729289964398e-12
3.0985101457747875e-7 3.779668469717283e-12
3.9929868494814854e-7 1.8753812123434386e-12
4.5331617069853056e-7 1.2706194784632223e-12
5.144949678337311e-7 1.0057947666660667e-12
5.598814996027168e-7 7.962595533832718e-13
6.628307943070408e-7 5.830598542789283e-13
7.523922314437426e-7 4.2699525120718875e-13
8.541765301974108e-7 2.893003725451589e-13
9.698680925333304e-7 1.8133890261202492e-13
0.0000012491391088003778 1.2281818253908802e-13
0.0000014788269808408682 8.993342850302297e-14
0.0000017507491550425991 6.585361707118777e-14
0.0000020729660577758715 4.461225339064749e-14
0.0000024544854208918804 3.02223817173154e-14
0.0000029066345289962583 1.8941713144214414e-14
0.00000329984666610111 1.2833502606346075e-14
0.000003745720654281973 9.39842561453968e-15
0.000004433842273209683 7.4387086606652e-15
0.00000503222625881554 5.888320121378623e-15
0.0000059558439161414234 5.037531924162411e-15
0.000007051988143482318 3.4126546218603335e-15
0.000008349872407004548 2.3118883896782852e-15
0.000009885221361706937 1.6928767785171365e-15
0.0000127316453620034 1.1465606453180077e-15
0.00001507055987985455 9.07485035484071e-16
0.000019410088735131133 6.146263219538341e-16
0.000026072975036437285 4.1622811962582144e-16
0.00003086719380013889 3.0478241139420185e-16
0.00003654295882091716 2.231764600113331e-16
0.00004511422452472855 1.7661980637976321e-16
0.00005339451484247997 1.5110046579280244e-16
0.00006320355384629996 1.1959368405114697e-16
0.00007802814580385375 9.464534619952091e-17
0.00009631620647424951 8.096069755932816e-17
0.00011890747504994637 6.407155452942026e-17
0.00015308131120677783 5.480104206315551e-17
0.00020554178506900633 4.686633051704548e-17
0.0002877528255059062 4.682195881282851e-17
0.0003549938714608851 5.4671423996375114e-17
0.00045669403856023557 6.899279339184092e-17
0.0006391773895341358 8.05304770348992e-17
0.0007884260345511367 1.0163774863528452e-16
0.0008941952267141862 1.1870491102960246e-16
