freq,h2Om
1.5322964467173978e-07,1.1343826321989309e-21
1.534766111827454e-07,1.1398764704744861e-21
1.5372397573981866e-07,1.145396915520826e-21
1.539717389845071e-07,1.15094409619509e-21
1.5421990155939223e-07,1.1565181419784734e-21
1.5446846410809026e-07,1.1621191829792307e-21
1.547174272752561e-07,1.1677473499357626e-21
1.549667917065823e-07,1.1734027742196095e-21
1.5521655804880314e-07,1.1790855878385681e-21
1.5546672694969523e-07,1.1847959234397517e-21
1.5571729905807826e-07,1.1905339143126639e-21
1.5596827502381894e-07,1.1962996943923618e-21
1.5621965549783014e-07,1.2020933982625242e-21
1.5647144113207473e-07,1.2079151611586421e-21
1.5672363257956645e-07,1.2137651189711544e-21
1.5697623049437054e-07,1.2196434082486e-21
1.5722923553160737e-07,1.2255501662008454e-21
1.5748264834745318e-07,1.2314855307022671e-21
1.577364695991409e-07,1.2374496402949502e-21
1.5799069994496398e-07,1.24344263419197e-21
1.5824534004427556e-07,1.2494646522805814e-21
1.5850039055749256e-07,1.2555158351255427e-21
1.5875585214609618e-07,1.2615963239723685e-21
1.5901172547263287e-07,1.267706260750604e-21
1.5926801120071823e-07,1.273845788077195e-21
1.5952470999503612e-07,1.2800150492597524e-21
1.5978182252134267e-07,1.2862141882999504e-21
1.6003934944646706e-07,1.292443349896869e-21
1.602972914383122e-07,1.2987026794503425e-21
1.6055564916585884e-07,1.3049923230644138e-21
1.6081442329916462e-07,1.3113124275506766e-21
1.6107361450936814e-07,1.3176631404317611e-21
1.613332234686897e-07,1.3240446099447519e-21
1.6159325085043203e-07,1.3304569850446266e-21
1.618536973289844e-07,1.3369004154077837e-21
1.6211456357982168e-07,1.3433750514354782e-21
1.6237585027950847e-07,1.349881044257385e-21
1.6263755810569972e-07,1.3564185457351013e-21
1.6289968773714168e-07,1.3629877084656704e-21
1.6316223985367586e-07,1.369588685785198e-21
1.6342521513623816e-07,1.3762216317723686e-21
1.63688614266863e-07,1.382886701252095e-21
1.6395243792868402e-07,1.3895840497991121e-21
1.642166868059349e-07,1.3963138337415797e-21
1.644813615839535e-07,1.4030762101647925e-21
1.6474646294918093e-07,1.4098713369147806e-21
1.6501199158916561e-07,1.4166993726020469e-21
1.6527794819256416e-07,1.423560476605251e-21
1.6554433344914214e-07,1.4304548090749016e-21
1.6581114804977778e-07,1.437382530937142e-21
1.660783926864629e-07,1.4443438038974868e-21
1.6634606805230358e-07,1.4513387904445683e-21
1.6661417484152433e-07,1.4583676538539852e-21
1.6688271374946732e-07,1.4654305581920536e-21
1.671516854725963e-07,1.4725276683196888e-21
1.674210907084977e-07,1.4796591498962325e-21
1.6769093015588111e-07,1.4868251693832886e-21
1.6796120451458372e-07,1.494025894048676e-21
1.6823191448556929e-07,1.5012614919702611e-21
