freq,h2Om
1e-07,3.19575095566137e-17
1.0016117410670395e-07,3.2112278216423015e-17
1.003226079843348e-07,3.2267796406123007e-17
1.0048430205157565e-07,3.242406775555717e-17
1.0064625672778518e-07,3.2581095912148067e-17
1.0080847243299714e-07,3.2738884540980735e-17
1.0097094958792291e-07,3.289743732488976e-17
1.0113368861395194e-07,3.3056757964544625e-17
1.0129668993315222e-07,3.3216850178535284e-17
1.0145995396827285e-07,3.3377717703460654e-17
1.0162348114274344e-07,3.353936429401387e-17
1.017872718806767e-07,3.3701793723071624e-17
1.0195132660686891e-07,3.3865009781781433e-17
1.0211564574680034e-07,3.402901627964954e-17
1.0228022972663792e-07,3.419381704463126e-17
1.0244507897323456e-07,3.4359415923218683e-17
1.0261019391413183e-07,3.452581678053188e-17
1.0277557497756032e-07,3.469302350040839e-17
1.0294122259244025e-07,3.486103998549348e-17
1.0310713718838372e-07,3.502987015733218e-17
1.0327331919569532e-07,3.519951795646039e-17
1.0343976904537249e-07,3.536998734249606e-17
1.036064871691082e-07,3.554128229423323e-17
1.0377347399929034e-07,3.5713406809733034e-17
1.0394072996900434e-07,3.588636490641862e-17
1.0410825551203366e-07,3.606016062116821e-17
1.0427605106286023e-07,3.623479801040856e-17
1.0444411705666716e-07,3.6410281150211396e-17
1.0461245392933805e-07,3.6586614136386573e-17
1.0478106211745974e-07,3.676380108457926e-17
1.0494994205832268e-07,3.694184613036537e-17
1.0511909418992148e-07,3.7120753429347326e-17
1.0528851895095757e-07,3.7300527157252695e-17
1.0545821678083859e-07,3.748117151002978e-17
1.0562818811968101e-07,3.766269070394714e-17
1.0579843340831068e-07,3.784508897569127e-17
1.059689530882633e-07,3.8028370582464937e-17
1.0613974760178703e-07,3.821253980208785e-17
1.0631081739184204e-07,3.839760093309499e-17
1.06482162902103e-07,3.858355829483826e-17
1.0665378457695972e-07,3.8770416227586796e-17
1.0682568286151757e-07,3.8958179092627366e-17
1.0699785820160022e-07,3.914685127236799e-17
1.07170311043749e-07,3.933643717043818e-17
1.073430418352256e-07,3.9526941211793464e-17
1.0751605102401258e-07,3.971836784281779e-17
1.0768933905881388e-07,3.9910721531426766e-17
1.0786290638905731e-07,4.010400676717327e-17
1.08036753464895e-07,4.0298228061351486e-17
1.0821088073720399e-07,4.0493389947101434e-17
1.0838528865758887e-07,4.06894969795166e-17
1.0855997767838122e-07,4.088655373574809e-17
1.0873494825264234e-07,4.108456481511338e-17
1.0891020083416376e-07,4.12835348392027e-17
1.090857358774677e-07,4.1483468451986286e-17
1.0926155383780984e-07,4.1684370319924434e-17
1.0943765517117878e-07,4.1886245132074396e-17
1.0961404033429867e-07,4.20890976002017e-17
1.0979070978462979e-07,4.229293245888907e-17
1.0996766398036909e-07,4.2497754465646495e-17
1.1014490338045286e-07,4.270356840102373e-17
1.1032242844455623e-07,4.291037906872009e-17
1.1050023963309583e-07,4.3118191295698026e-17
1.1067833740723042e-07,4.3327009932295423e-17
1.108567222288613e-07,4.353683985233753e-17
1.1103539456063516e-07,4.374768595325294e-17
1.1121435486594345e-07,4.3959553156185537e-17
1.113936036089252e-07,4.4172446406111285e-17
1.1157314125446744e-07,4.43863706719528e-17
1.1175296826820585e-07,4.460133094669449e-17
1.119330851165275e-07,4.481733224750102e-17
1.1211349226657022e-07,4.5034379615832137e-17
1.1229419018622546e-07,4.525247811756236e-17
1.1247517934413876e-07,4.547163284309819e-17
1.1265646020971034e-07,4.569184890749634e-17
1.1283803325309762e-07,4.5913131450584414e-17
1.1301989894521582e-07,4.613548563708039e-17
1.1320205775773847e-07,4.6358916656712056e-17
1.1338451016310022e-07,4.658342972434014e-17
1.1356725663449624e-07,4.680903008007785e-17
1.1375029764588506e-07,4.7035722989414984e-17
1.1393363367198911e-07,4.726351374334009e-17
1.1411726518829529e-07,4.749240765846301e-17
1.1430119267105772e-07,4.772241007714099e-17
1.1448541659729726e-07,4.7953526367601025e-17
1.1466993744480423e-07,4.818576192406716e-17
1.1485475569213909e-07,4.841912216688553e-17
1.150398718186329e-07,4.865361254264999e-17
1.1522528630439018e-07,4.8889238524331146e-17
1.1541099963028833e-07,4.9126005611401863e-17
1.1559701227798053e-07,4.9363919329967665e-17
1.1578332472989625e-07,4.960298523289467e-17
1.1596993746924178e-07,4.984320889993841e-17
1.161568509800032e-07,5.0084595937876136e-17
1.1634406574694564e-07,5.03271519806351e-17
1.1653158225561633e-07,5.0570882689426386e-17
1.1671940099234502e-07,5.081579375287588e-17
1.1690752244424463e-07,5.1061890887156286e-17
1.1709594709921409e-07,5.130917983612252e-17
1.1728467544593776e-07,5.155766637144339e-17
1.1747370797388837e-07,5.18073562927384e-17
1.1766304517332752e-07,5.2058255427712206e-17
1.1785268753530629e-07,5.231036963228961e-17
1.180426355516679e-07,5.256370479075409e-17
1.1823288971504833e-07,5.2818266815884285e-17
1.1842345051887682e-07,5.3074061649090945e-17
1.1861431845737885e-07,5.3331095260557715e-17
1.188054940255755e-07,5.358937364937812e-17
1.1899697771928642e-07,5.384890284369759e-17
1.1918877003513041e-07,5.4109688900853353e-17
1.1938087147052594e-07,5.437173790751458e-17
1.1957328252369419e-07,5.4635055979827e-17
1.1976600369365834e-07,5.4899649263552786e-17
1.199590354802466e-07,5.5165523934216293e-17
1.201523783840928e-07,5.543268619724735e-17
1.203460329066369e-07,5.570114228812477e-17
1.2053999955012804e-07,5.597089847252456e-17
1.207342788176239e-07,5.624196104646315e-17
1.2092887121299365e-07,5.651433633644687e-17
1.211237772409186e-07,5.678803069961842e-17
1.2131899740689273e-07,5.706305052390437e-17
1.215145322172257e-07,5.73394022281664e-17
1.2171038217904228e-07,5.761709226234848e-17
1.219065478002853e-07,5.789612710762995e-17
1.221030295897163e-07,5.817651327657536e-17
1.2229982805691597e-07,5.845825731328564e-17
1.224969437122874e-07,5.874136579355324e-17
1.226943770670553e-07,5.902584532501283e-17
1.228921286332691e-07,5.931170254729772e-17
1.230901989238035e-07,5.959894413219398e-17
1.2328858845235903e-07,5.9887576783795e-17
1.2348729773346528e-07,6.017760723866036e-17
1.2368632728248002e-07,6.046904226597024e-17
1.2388567761559247e-07,6.076188866768585e-17
1.2408534924982378e-07,6.105615327870721e-17
1.2428534270302763e-07,6.135184296703128e-17
1.2448565849389318e-07,6.164896463391474e-17
1.246862971419455e-07,6.19475252140337e-17
1.2488725916754625e-07,6.224753167564447e-17
1.2508854509189683e-07,6.254899102074886e-17
1.2529015543703765e-07,6.285191028525442e-17
1.2549209072585126e-07,6.315629653914148e-17
1.25694351482063e-07,6.346215688662688e-17
1.2589693823024155e-07,6.376949846632843e-17
1.2609985149580201e-07,6.40783284514345e-17
1.2630309180500537e-07,6.438865404986802e-17
1.2650665968496155e-07,6.470048250445769e-17
1.2671055566363001e-07,6.501382109310558e-17
1.2691478026982048e-07,6.532867712895596e-17
1.271193340331959e-07,6.564505796056855e-17
1.273242174842719e-07,6.59629709720869e-17
1.2752943115441996e-07,6.628242358341358e-17
1.2773497557586796e-07,6.660342325038197e-17
1.2794085128170088e-07,6.692597746492924e-17
1.2814705880586383e-07,6.725009375527364e-17
1.2835359868316157e-07,6.757577968608741e-17
1.285604714492615e-07,6.790304285867565e-17
1.287676776406945e-07,6.823189091115303e-17
1.289752177948553e-07,6.856233151862012e-17
1.2918309245000588e-07,6.889437239334611e-17
1.293913021452747e-07,6.922802128494484e-17
1.2959984742065993e-07,6.956328598055887e-17
1.2980872881703013e-07,6.99001743050399e-17
1.3001794687612473e-07,7.023869412113014e-17
1.302275021405571e-07,7.0578853329648e-17
1.3043739515381528e-07,7.09206598696717e-17
1.3064762646026234e-07,7.126412171872294e-17
1.3085819660513983e-07,7.160924689295594e-17
1.3106910613456705e-07,7.195604344734132e-17
1.3128035559554427e-07,7.2304519475857e-17
1.314919455359534e-07,7.265468311167572e-17
1.3170387650455863e-07,7.300654252735355e-17
1.3191614905100958e-07,7.336010593502351e-17
1.321287637258408e-07,7.371538158658403e-17
1.3234172108047488e-07,7.407237777389431e-17
1.325550216672232e-07,7.44311028289664e-17
1.3276866603928657e-07,7.479156512415876e-17
1.3298265475075842e-07,7.515377307237417e-17
