freq,h2Om
1.1175296826820585e-07,1.8826955263202116e-22
1.119330851165275e-07,1.8918134593776628e-22
1.1211349226657022e-07,1.9009755507719467e-22
1.1229419018622546e-07,1.9101820143628097e-22
1.1247517934413876e-07,1.9194330650457187e-22
1.1265646020971034e-07,1.9287289187568533e-22
1.1283803325309762e-07,1.9380697924782097e-22
1.1301989894521582e-07,1.947455904242632e-22
1.1320205775773847e-07,1.9568874731388687e-22
1.1338451016310022e-07,1.9663647193167636e-22
1.1356725663449624e-07,1.9758878639923057e-22
1.1375029764588506e-07,1.985457129452873e-22
1.1393363367198911e-07,1.9950727390623853e-22
1.1411726518829529e-07,2.0047349172664822e-22
1.1430119267105772e-07,2.0144438895978468e-22
1.1448541659729726e-07,2.0241998826813738e-22
1.1466993744480423e-07,2.0340031242395404e-22
1.1485475569213909e-07,2.0438538430976935e-22
1.150398718186329e-07,2.0537522691893451e-22
1.1522528630439018e-07,2.0636986335616305e-22
1.1541099963028833e-07,2.0736931683806004e-22
1.1559701227798053e-07,2.0837361069367303e-22
1.1578332472989625e-07,2.0938276836503238e-22
1.1596993746924178e-07,2.1039681340769503e-22
1.161568509800032e-07,2.114157694913029e-22
1.1634406574694564e-07,2.124396604001256e-22
1.1653158225561633e-07,2.134685100336242e-22
1.1671940099234502e-07,2.145023424070051e-22
1.1690752244424463e-07,2.1554118165177736e-22
1.1709594709921409e-07,2.165850520163244e-22
1.1728467544593776e-07,2.1763397786645972e-22
1.1747370797388837e-07,2.1868798368600524e-22
1.1766304517332752e-07,2.197470940773584e-22
1.1785268753530629e-07,2.208113337620622e-22
1.180426355516679e-07,2.218807275813913e-22
1.1823288971504833e-07,2.229553004969263e-22
1.1842345051887682e-07,2.240350775911341e-22
1.1861431845737885e-07,2.2512008406796113e-22
1.188054940255755e-07,2.2621034525341233e-22
1.1899697771928642e-07,2.273058865961503e-22
1.1918877003513041e-07,2.284067336680868e-22
1.1938087147052594e-07,2.295129121649743e-22
1.1957328252369419e-07,2.3062444790701587e-22
1.1976600369365834e-07,2.3174136683945703e-22
1.199590354802466e-07,2.3286369503320076e-22
1.201523783840928e-07,2.3399145868541185e-22
1.203460329066369e-07,2.351246841201243e-22
1.2053999955012804e-07,2.362633977888655e-22
1.207342788176239e-07,2.374076262712628e-22
1.2092887121299365e-07,2.3855739627567317e-22
1.211237772409186e-07,2.3971273463980298e-22
1.2131899740689273e-07,2.4087366833132965e-22
1.215145322172257e-07,2.420402244485413e-22
1.2171038217904228e-07,2.43212430220958e-22
1.219065478002853e-07,2.4439031300997725e-22
1.221030295897163e-07,2.455739003095085e-22
1.2229982805691597e-07,2.467632197466101e-22
1.224969437122874e-07,2.4795829908214493e-22
1.226943770670553e-07,2.491591662114161e-22
1.228921286332691e-07,2.5036584916482917e-22
1.230901989238035e-07,2.5157837610854107e-22
1.2328858845235903e-07,2.527967753451137e-22
1.2348729773346528e-07,2.5402107531418496e-22
1.2368632728248002e-07,2.552513045931201e-22
1.2388567761559247e-07,2.5648749189769022e-22
1.2408534924982378e-07,2.577296660827372e-22
1.2428534270302763e-07,2.5897785614284274e-22
1.2448565849389318e-07,2.6023209121301474e-22
1.246862971419455e-07,2.614924005693628e-22
1.2488725916754625e-07,2.6275881362977585e-22
1.2508854509189683e-07,2.640313599546214e-22
1.2529015543703765e-07,2.653100692474215e-22
1.2549209072585126e-07,2.665949713555581e-22
1.25694351482063e-07,2.6788609627096466e-22
1.2589693823024155e-07,2.6918347413082095e-22
1.2609985149580201e-07,2.704871352182686e-22
1.2630309180500537e-07,2.7179710996310447e-22
1.2650665968496155e-07,2.731134289425021e-22
1.2671055566363001e-07,2.7443612288172145e-22
1.2691478026982048e-07,2.7576522265482082e-22
1.271193340331959e-07,2.77100759285388e-22
1.273242174842719e-07,2.784427639472524e-22
1.2752943115441996e-07,2.7979126796522393e-22
1.2773497557586796e-07,2.811463028158193e-22
1.2794085128170088e-07,2.825079001279917e-22
1.2814705880586383e-07,2.8387609168388026e-22
1.2835359868316157e-07,2.8525090941953926e-22
1.285604714492615e-07,2.866323854256949e-22
1.287676776406945e-07,2.8802055194848954e-22
1.289752177948553e-07,2.8941544139022886e-22
1.2918309245000588e-07,2.90817086310151e-22
1.293913021452747e-07,2.9222551942517204e-22
1.2959984742065993e-07,2.9364077361066113e-22
1.2980872881703013e-07,2.9506288190120477e-22
1.3001794687612473e-07,2.964918774913708e-22
1.302275021405571e-07,2.9792779373649397e-22
1.3043739515381528e-07,2.9937066415345037e-22
1.3064762646026234e-07,3.0082052242143325e-22
1.3085819660513983e-07,3.0227740238275177e-22
1.3106910613456705e-07,3.0374133804360725e-22
1.3128035559554427e-07,3.0521236357489924e-22
1.314919455359534e-07,3.066905133130173e-22
1.3170387650455863e-07,3.0817582176063805e-22
1.3191614905100958e-07,3.0966832358754163e-22
1.321287637258408e-07,3.111680536314078e-22
1.3234172108047488e-07,3.1267504689864164e-22
1.325550216672232e-07,3.141893385651846e-22
1.3276866603928657e-07,3.157109639773306e-22
1.3298265475075842e-07,3.1723995865256392e-22
1.3319698835662415e-07,3.187763582803728e-22
1.3341166741276446e-07,3.2032019872309615e-22
1.336266924759561e-07,3.218715160167559e-22
1.3384206410387224e-07,3.2343034637189e-22
