freq,h2Om
1e-07,1.3335289864736398e-17
1.0016117410670395e-07,1.3399872898627465e-17
1.003226079843348e-07,1.3464768709063053e-17
1.0048430205157565e-07,1.3529978810822714e-17
1.0064625672778518e-07,1.3595504726022388e-17
1.0080847243299714e-07,1.3661347984149265e-17
1.0097094958792291e-07,1.3727510122098139e-17
1.0113368861395194e-07,1.3793992684206966e-17
1.0129668993315222e-07,1.386079722229266e-17
1.0145995396827285e-07,1.392792529568796e-17
1.0162348114274344e-07,1.3995378471277076e-17
1.017872718806767e-07,1.4063158323532916e-17
1.0195132660686891e-07,1.4131266434553575e-17
1.0211564574680034e-07,1.4199704394098953e-17
1.0228022972663792e-07,1.4268473799628536e-17
1.0244507897323456e-07,1.4337576256337938e-17
1.0261019391413183e-07,1.4407013377197002e-17
1.0277557497756032e-07,1.4476786782987186e-17
1.0294122259244025e-07,1.454689810233914e-17
1.0310713718838372e-07,1.461734897177121e-17
1.0327331919569532e-07,1.4688141035727416e-17
1.0343976904537249e-07,1.4759275946615555e-17
1.036064871691082e-07,1.4830755364846383e-17
1.0377347399929034e-07,1.4902580958871665e-17
1.0394072996900434e-07,1.4974754405223755e-17
1.0410825551203366e-07,1.5047277388554458e-17
1.0427605106286023e-07,1.5120151601674038e-17
1.0444411705666716e-07,1.5193378745591434e-17
1.0461245392933805e-07,1.5266960529553203e-17
1.0478106211745974e-07,1.5340898671084054e-17
1.0494994205832268e-07,1.5415194896026643e-17
1.0511909418992148e-07,1.5489850938581623e-17
1.0528851895095757e-07,1.5564868541348767e-17
1.0545821678083859e-07,1.5640249455366836e-17
1.0562818811968101e-07,1.5715995440155197e-17
1.0579843340831068e-07,1.5792108263754534e-17
1.059689530882633e-07,1.586858970276788e-17
1.0613974760178703e-07,1.5945441542402718e-17
1.0631081739184204e-07,1.6022665576511947e-17
1.06482162902103e-07,1.610026360763632e-17
1.0665378457695972e-07,1.6178237447046336e-17
1.0682568286151757e-07,1.625658891478415e-17
1.0699785820160022e-07,1.633531983970682e-17
1.07170311043749e-07,1.6414432059528098e-17
1.073430418352256e-07,1.64939274208621e-17
1.0751605102401258e-07,1.6573807779266103e-17
1.0768933905881388e-07,1.6654074999283538e-17
1.0786290638905731e-07,1.6734730954488106e-17
1.08036753464895e-07,1.6815777527527228e-17
1.0821088073720399e-07,1.689721661016566e-17
1.0838528865758887e-07,1.6979050103330415e-17
1.0855997767838122e-07,1.706127991715423e-17
1.0873494825264234e-07,1.714390797102096e-17
1.0891020083416376e-07,1.7226936193610027e-17
1.090857358774677e-07,1.7310366522941078e-17
1.0926155383780984e-07,1.7394200906420057e-17
1.0943765517117878e-07,1.7478441300883756e-17
1.0961404033429867e-07,1.7563089672646233e-17
1.0979070978462979e-07,1.764814799754437e-17
1.0996766398036909e-07,1.7733618260983753e-17
